date,series,side,threshold_k,estimator,alpha_hat,ci_low,ci_high,selected_threshold,active_flag,data_vintage,run_id,config_hash,git_hash,code_version,run_timestamp
2026-03-31,Mkt-RF,right,20,hill,4.262055603011829,2.394127376777041,6.129983829246617,1423,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,right,421,hill,2.5680918124799725,2.322775984764244,2.813407640195701,1423,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,right,822,hill,2.4660774007019337,2.2974893202121867,2.6346654811916808,1423,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,right,1223,hill,2.4452109903093415,2.3081672567169007,2.5822547239017823,1423,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,right,1624,hill,2.373575917819522,2.2581332948203436,2.4890185408187,1423,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,right,2025,hill,2.258952857124296,2.1605629104584376,2.357342803790154,1423,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,right,2426,hill,2.149035384904133,2.063518033927715,2.234552735880551,1423,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,right,2828,hill,2.0864900211923003,2.0095888983914607,2.16339114399314,1423,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,right,1414,pot,3.3723687276038405,,,1414,1,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,left,20,hill,4.118821645523857,2.313668468952436,5.923974822095278,1200,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,left,357,hill,3.0137432351196782,2.701114990688203,3.3263714795511534,1200,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,left,694,hill,2.7448646645209456,2.540645134420947,2.9490841946209443,1200,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,left,1031,hill,2.5214690596265212,2.3675542597049453,2.675383859548097,1200,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,left,1369,hill,2.386407013321738,2.2599919391025325,2.5128220875409437,1200,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,left,1706,hill,2.269117150326786,2.161440019143759,2.3767942815098135,1200,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,left,2043,hill,2.1131628888730734,2.021529264796944,2.2047965129492026,1200,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,left,2381,hill,1.9942074278913609,1.9141048112171248,2.074310044565597,1200,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,Mkt-RF,left,1190,pot,5.154190328312055,,,1190,1,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,SMB,right,20,hill,4.371830056553929,2.4557910548177873,6.28786905829007,1345,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,SMB,right,398,hill,2.996669705928851,2.7022591259575375,3.291080285900165,1345,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,SMB,right,777,hill,2.5560198518403565,2.3762943170828064,2.7357453865979067,1345,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,SMB,right,1156,hill,2.475453035255131,2.332750448516894,2.618155621993368,1345,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
2026-03-31,SMB,right,1535,hill,2.361986639409838,2.2438242353875038,2.480149043432172,1345,0,2026-05-26,F18_live,57842a3cb7aabb48564faf4a8543bc8dd1adafc72dccbdea6c4b66cb3543f1b8,52af3e0,0.1.0,2026-05-26T15:14:51+00:00
