date,portfolio,model,level,loss,var,es,hit,crisis_flag,data_vintage,run_id,config_hash,git_hash,code_version,run_timestamp
2020-10-14,Mkt-RF,FF,0.99,-0.008892087287398794,0.07341081336938786,0.11197394761674534,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-14,Mkt-RF,FF,0.995,-0.008892087287398794,0.093710633042659,0.14154450188562803,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-15,Mkt-RF,FF,0.99,0.004141763663665728,0.07278499571838132,0.1118190566652878,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-15,Mkt-RF,FF,0.995,0.004141763663665728,0.09343307979739535,0.1416052423852649,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-16,Mkt-RF,FF,0.99,0.010544353525554384,0.07303699098806135,0.11194358144003305,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-16,Mkt-RF,FF,0.995,0.010544353525554384,0.09326277281551995,0.14181495503458535,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-19,Mkt-RF,FF,0.99,-0.006225189319889043,0.0730559924187311,0.11206855943936346,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-19,Mkt-RF,FF,0.995,-0.006225189319889043,0.09352840686933034,0.14209221145728268,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-20,Mkt-RF,FF,0.99,-0.008894141001583348,0.0730086610509923,0.11230908443879636,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-20,Mkt-RF,FF,0.995,-0.008894141001583348,0.09362044712438236,0.14235198472015032,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-21,Mkt-RF,FF,0.99,0.0029687463948114526,0.07334178319783732,0.1124976720918516,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-21,Mkt-RF,FF,0.995,0.0029687463948114526,0.09401587684115559,0.1426524878686498,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-22,Mkt-RF,FF,0.99,0.004405868203736089,0.07371686079598826,0.11308741641968509,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-22,Mkt-RF,FF,0.995,0.004405868203736089,0.09439034098049337,0.1432676021983012,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-23,Mkt-RF,FF,0.99,-0.011902070462752589,0.07365318200987728,0.11294674000521784,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-23,Mkt-RF,FF,0.995,-0.011902070462752589,0.09426558257817808,0.14331187818722702,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-26,Mkt-RF,FF,0.99,-0.0016821866198091712,0.07904308141598151,0.1233398127217687,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-26,Mkt-RF,FF,0.995,-0.0016821866198091712,0.10210907957311326,0.15770782913519243,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-27,Mkt-RF,FF,0.99,-0.009046863777771485,0.07336858471346874,0.11277294892135056,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-27,Mkt-RF,FF,0.995,-0.009046863777771485,0.09431915115446342,0.14296618769808442,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-28,Mkt-RF,FF,0.99,-0.0033529496363191025,0.07917162843628753,0.1233891732118127,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-28,Mkt-RF,FF,0.995,-0.0033529496363191025,0.10210027797764903,0.15767537947126242,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-29,Mkt-RF,FF,0.99,-0.0072478548330040075,0.0783486817100116,0.12239545383610567,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-29,Mkt-RF,FF,0.995,-0.0072478548330040075,0.10132629683156912,0.15650609737053334,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-30,Mkt-RF,FF,0.99,0.020259597006618977,0.07860870644837296,0.12247958975501311,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-10-30,Mkt-RF,FF,0.995,0.020259597006618977,0.10118368533665698,0.15640806915158031,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-11-02,Mkt-RF,FF,0.99,-0.007544228452673073,0.07303238686319122,0.11185052922558139,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-11-02,Mkt-RF,FF,0.995,-0.007544228452673073,0.0932998896673351,0.1417884214602634,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-11-03,Mkt-RF,FF,0.99,0.010393179983750998,0.07310643985335702,0.11191680587747589,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-11-03,Mkt-RF,FF,0.995,0.010393179983750998,0.09365498092003981,0.1419180258269494,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-11-04,Mkt-RF,FF,0.99,-0.0032888948914577137,0.07302914062305225,0.11193424116401271,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-11-04,Mkt-RF,FF,0.995,-0.0032888948914577137,0.09351752889772197,0.14187174212666834,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-11-05,Mkt-RF,FF,0.99,0.009638386122586912,0.07325384558553204,0.11215562850590896,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-11-05,Mkt-RF,FF,0.995,0.009638386122586912,0.09358454501479223,0.14210064114636656,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-11-06,Mkt-RF,FF,0.99,0.0029502166787847583,0.07321330736352852,0.11224046360564122,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-11-06,Mkt-RF,FF,0.995,0.0029502166787847583,0.09375672877159114,0.14222228303943926,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
2020-11-09,Mkt-RF,FF,0.99,-0.004759485471227409,0.07479511795537891,0.11537980213116236,0,0,synthetic-v1,F16_default,786ddba614cca0b18e42a1f878450d559eb8ae0e389535813e5f1d8226f594e7,ff4006c,0.1.0,2026-05-26T14:42:34+00:00
