seed,design,theta_1,theta_2,theta_3,spectral_weight,portfolio_loading,contribution,run_id,config_hash,git_hash,code_version,run_timestamp
2587984608,dirichlet_mrv_alpha2,0.19050786249706755,0.41051847104290273,0.39897366646002974,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
174020255,dirichlet_mrv_alpha2,0.18355604478555265,0.21839154439722488,0.5980524108172224,0.002,0.9999999999999999,0.9999999999999998,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
30175707,dirichlet_mrv_alpha2,0.29476107041018007,0.47637836549524365,0.2288605640945763,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
2350637429,dirichlet_mrv_alpha2,0.40718241607371186,0.34131351161657575,0.25150407230971233,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
73417789,dirichlet_mrv_alpha2,0.21572006653361295,0.45915227359336286,0.3251276598730241,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
120111867,dirichlet_mrv_alpha2,0.3686413039759549,0.5017471092955779,0.12961158672846732,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
831177999,dirichlet_mrv_alpha2,0.44066035292138206,0.35264230679343644,0.20669734028518147,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
1675965940,dirichlet_mrv_alpha2,0.10657879685365709,0.5996006634041652,0.29382053974217776,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
3368472466,dirichlet_mrv_alpha2,0.2018136639316488,0.21919170170735894,0.5789946343609922,0.002,0.9999999999999999,0.9999999999999998,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
3613262386,dirichlet_mrv_alpha2,0.38400157768561893,0.3830591508103273,0.23293927150405377,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
3338825401,dirichlet_mrv_alpha2,0.47486816762636586,0.009866078077304104,0.5152657542963299,0.002,0.9999999999999999,0.9999999999999998,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
4006577864,dirichlet_mrv_alpha2,0.1295619575514712,0.7157439227213508,0.15469411972717798,0.002,0.9999999999999999,0.9999999999999998,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
2850353436,dirichlet_mrv_alpha2,0.2727313009852903,0.16753021518107222,0.5597384838336373,0.002,0.9999999999999999,0.9999999999999998,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
2752105299,dirichlet_mrv_alpha2,0.07923448937489971,0.7513167498710002,0.16944876075410015,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
3042822411,dirichlet_mrv_alpha2,0.4532339161987498,0.03169978250848773,0.5150663012927624,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
3513693967,dirichlet_mrv_alpha2,0.42424234506443,0.20167050877256879,0.3740871461630011,0.002,0.9999999999999999,0.9999999999999998,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
4050040873,dirichlet_mrv_alpha2,0.047912563805095607,0.7808174412127871,0.17126999498211729,0.002,0.9999999999999999,0.9999999999999998,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
169896500,dirichlet_mrv_alpha2,0.3703187107302518,0.45091270467099515,0.17876858459875314,0.002,1.0000000000000002,1.0000000000000004,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
2673182671,dirichlet_mrv_alpha2,0.1523564478417289,0.2026737836367082,0.644969768521563,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
3493959463,dirichlet_mrv_alpha2,0.02257286296693681,0.7737912122439051,0.20363592478915804,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
1982251180,dirichlet_mrv_alpha2,0.48150066552080634,0.20994466103186463,0.3085546734473291,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
702901898,dirichlet_mrv_alpha2,0.27618961228491823,0.2780583651523536,0.44575202256272817,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
2902303555,dirichlet_mrv_alpha2,0.08211075496194932,0.30942095552003246,0.6084682895180181,0.002,0.9999999999999999,0.9999999999999998,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
3417795993,dirichlet_mrv_alpha2,0.4606909204168182,0.30445183347273114,0.23485724611045078,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
1265592865,dirichlet_mrv_alpha2,0.33297657196585245,0.3561695495980052,0.31085387843614243,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
838735239,dirichlet_mrv_alpha2,0.30864758059730996,0.39146230464804127,0.2998901147546487,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
3111165820,dirichlet_mrv_alpha2,0.5342999556465247,0.07265319385084931,0.39304685050262594,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
1825887353,dirichlet_mrv_alpha2,0.44249480729781,0.2792096446877441,0.2782955480144459,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
3937209582,dirichlet_mrv_alpha2,0.6663324169430818,0.20776027268204256,0.12590731037487582,0.002,1.0000000000000002,1.0000000000000004,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
2957169671,dirichlet_mrv_alpha2,0.5040089135676904,0.33741453125260373,0.1585765551797058,0.002,1.0,1.0,F12_default,a37b1d5dd14918e1795478d719ed4c2473049eed441db5e9c4b4d5d2c4cb8a39,660f0ec,0.1.0,2026-05-25T18:35:28+00:00
