date,loss,var_99,es_99,var_995,es_995,estimator,window,crisis_flag,data_vintage,run_id,config_hash,git_hash,code_version,run_timestamp
2020-10-14,-0.007515007804214362,0.06455065601278467,0.09397469067884168,0.08053840632996344,0.11628882968420512,independent,400,0,synthetic-v1,F9_default,ab28b8cf35d72adba1224d88adfbe86e39d13ce6ab49a2f4a58855b93ab6ec1e,ff4006c,0.1.0,2026-05-26T14:40:38+00:00
2020-10-15,-0.018315363921068806,0.06468996933752548,0.09375888225670156,0.08033750813875973,0.11610493531666985,independent,400,0,synthetic-v1,F9_default,ab28b8cf35d72adba1224d88adfbe86e39d13ce6ab49a2f4a58855b93ab6ec1e,ff4006c,0.1.0,2026-05-26T14:40:38+00:00
2020-10-16,0.004839463183577236,0.06491062096547752,0.09436671149645301,0.08075572223028428,0.11682645994030666,independent,400,0,synthetic-v1,F9_default,ab28b8cf35d72adba1224d88adfbe86e39d13ce6ab49a2f4a58855b93ab6ec1e,ff4006c,0.1.0,2026-05-26T14:40:38+00:00
2020-10-19,-0.014288480552381303,0.06482227758865201,0.0943770192567679,0.08067479010479409,0.11692874705117956,independent,400,0,synthetic-v1,F9_default,ab28b8cf35d72adba1224d88adfbe86e39d13ce6ab49a2f4a58855b93ab6ec1e,ff4006c,0.1.0,2026-05-26T14:40:38+00:00
2020-10-20,-0.005739664595889313,0.0659447130746921,0.09588018474365576,0.08200674597673166,0.11871175813921839,independent,400,0,synthetic-v1,F9_default,ab28b8cf35d72adba1224d88adfbe86e39d13ce6ab49a2f4a58855b93ab6ec1e,ff4006c,0.1.0,2026-05-26T14:40:38+00:00
2020-10-21,-0.033553588102030706,0.06642049681452868,0.09709342529496597,0.08293674930303792,0.12031880565868872,independent,400,0,synthetic-v1,F9_default,ab28b8cf35d72adba1224d88adfbe86e39d13ce6ab49a2f4a58855b93ab6ec1e,ff4006c,0.1.0,2026-05-26T14:40:38+00:00
2020-10-22,-0.006546590303456166,0.0638286949346536,0.09206664014579541,0.07917485785108444,0.11348316571756858,independent,400,0,synthetic-v1,F9_default,ab28b8cf35d72adba1224d88adfbe86e39d13ce6ab49a2f4a58855b93ab6ec1e,ff4006c,0.1.0,2026-05-26T14:40:38+00:00
2020-10-23,0.013374123928679493,0.06370301775087742,0.0922044770234318,0.07932341736069504,0.11370405778543279,independent,400,0,synthetic-v1,F9_default,ab28b8cf35d72adba1224d88adfbe86e39d13ce6ab49a2f4a58855b93ab6ec1e,ff4006c,0.1.0,2026-05-26T14:40:38+00:00
2020-10-26,0.03204012308470456,0.06413778396232239,0.09273501368781462,0.07981645588446855,0.1144054636929936,independent,400,0,synthetic-v1,F9_default,ab28b8cf35d72adba1224d88adfbe86e39d13ce6ab49a2f4a58855b93ab6ec1e,ff4006c,0.1.0,2026-05-26T14:40:38+00:00
2020-10-27,0.006392205308549,0.06420194414368974,0.09302757899294778,0.07973124301149505,0.11484968842320994,independent,400,0,synthetic-v1,F9_default,ab28b8cf35d72adba1224d88adfbe86e39d13ce6ab49a2f4a58855b93ab6ec1e,ff4006c,0.1.0,2026-05-26T14:40:38+00:00
